cve_id,description_text,severity,cvss_score,references_count,weaknesses_count,os_count,years_since_published
CVE-2024-32896,,HIGH,7.8,3,0,0,1
CVE-2020-24786,,CRITICAL,9.8,24,0,0,5
CVE-2024-55028,,CRITICAL,9.8,2,0,0,0
CVE-2020-3504,,LOW,3.3,2,0,0,5
CVE-2021-42707,,HIGH,7.8,2,0,0,4
CVE-2025-47091,,MEDIUM,5.4,1,0,0,0
CVE-2021-41072,,HIGH,8.1,10,0,0,4
CVE-2024-6931,,HIGH,7.2,3,0,0,1
CVE-2024-35374,,CRITICAL,9.8,4,0,0,1
CVE-2022-28251,,MEDIUM,5.5,2,0,0,3
CVE-2024-3863,,CRITICAL,9.8,8,0,0,1
CVE-2022-37990,,HIGH,7.8,2,0,0,3
CVE-2023-42487,,HIGH,7.5,2,0,0,2
CVE-2025-4454,,MEDIUM,6.3,5,0,0,0
CVE-2023-3560,,LOW,3.5,4,0,0,2
CVE-2021-28100,,MEDIUM,5.5,2,0,0,4
CVE-2024-20884,,MEDIUM,6.2,2,0,0,1
CVE-2025-30101,,MEDIUM,4.4,1,0,0,0
CVE-2025-8744,,HIGH,7.3,3,0,0,0
CVE-2024-21864,,HIGH,7.8,2,0,0,1
CVE-2024-50460,,MEDIUM,5.9,1,0,0,1
CVE-2022-20365,,CRITICAL,9.8,2,0,0,3
CVE-2023-34540,,CRITICAL,9.8,6,0,0,2
CVE-2025-27825,,MEDIUM,6.4,1,0,0,0
CVE-2025-24027,,MEDIUM,6.2,2,0,0,0
CVE-2022-32503,,HIGH,7.6,8,0,0,1
CVE-2024-5379,,LOW,3.5,6,0,0,1
CVE-2021-1274,,HIGH,8.6,2,0,0,4
CVE-2022-22969,,MEDIUM,6.5,4,0,0,3
CVE-2022-2010,,CRITICAL,9.3,8,0,0,3
CVE-2022-25759,,CRITICAL,9.9,8,0,0,3
CVE-2024-25002,,HIGH,8.8,2,0,0,1
CVE-2024-6242,,HIGH,7.3,1,0,0,1
CVE-2024-58134,,HIGH,8.1,11,0,0,0
CVE-2025-11897,,MEDIUM,6.4,2,0,0,0
CVE-2020-35813,,MEDIUM,6.1,2,0,0,5
CVE-2020-12016,,CRITICAL,9.8,2,0,0,5
CVE-2022-2118,,MEDIUM,4.8,2,0,0,3
CVE-2025-4266,,HIGH,7.3,5,0,0,0
CVE-2024-43553,,HIGH,7.4,1,0,0,1
CVE-2021-27783,,MEDIUM,6.8,2,0,0,3
CVE-2025-49727,,HIGH,7.0,1,0,0,0
CVE-2023-32816,,MEDIUM,4.4,2,0,0,2
CVE-2020-28096,,MEDIUM,6.8,2,0,0,5
CVE-2024-11089,,MEDIUM,5.3,2,0,0,1
CVE-2025-25270,,CRITICAL,9.8,1,0,0,0
CVE-2021-36014,,LOW,3.3,2,0,0,4
CVE-2023-46261,,CRITICAL,9.8,2,0,0,2
CVE-2025-14390,,HIGH,8.8,2,0,0,0
CVE-2025-48565,,HIGH,7.8,4,0,0,0
CVE-2025-13609,,HIGH,8.2,2,0,0,0
CVE-2025-65403,,MEDIUM,6.5,2,0,0,0
CVE-2023-48229,,HIGH,7.0,4,0,0,1
CVE-2020-15963,,CRITICAL,9.6,24,0,0,5
CVE-2023-39122,,CRITICAL,9.8,2,0,0,2
CVE-2023-22732,,LOW,3.7,6,0,0,2
CVE-2023-45078,,MEDIUM,6.7,2,0,0,2
CVE-2020-36333,,CRITICAL,9.1,4,0,0,4
CVE-2025-24536,,HIGH,7.1,1,0,0,0
CVE-2023-40764,,CRITICAL,9.8,4,0,0,2
CVE-2020-2139,,MEDIUM,6.5,4,0,0,5
CVE-2023-46542,,CRITICAL,9.8,4,0,0,2
CVE-2023-41597,,MEDIUM,6.1,2,0,0,2
CVE-2024-0002,,CRITICAL,10.0,1,0,0,1
CVE-2021-41299,,CRITICAL,9.8,2,0,0,4
CVE-2020-18912,,CRITICAL,9.8,4,0,0,2
CVE-2023-44324,,CRITICAL,9.8,2,0,0,2
CVE-2023-21328,,HIGH,7.8,2,0,0,2
CVE-2023-3291,,LOW,3.3,6,0,0,2
CVE-2021-47671,,LOW,3.3,3,0,0,0
CVE-2025-21136,,HIGH,7.8,1,0,0,0
CVE-2024-10192,,LOW,3.5,5,0,0,1
CVE-2025-46526,,HIGH,7.1,1,0,0,0
CVE-2024-46989,,LOW,3.7,2,0,0,1
CVE-2024-42766,,MEDIUM,5.4,2,0,0,1
CVE-2024-30623,,MEDIUM,6.5,2,0,0,1
CVE-2025-8796,,MEDIUM,5.4,6,0,0,0
CVE-2024-27834,,MEDIUM,5.5,30,0,0,1
CVE-2025-55242,,MEDIUM,6.5,1,0,0,0
CVE-2025-30613,,MEDIUM,6.5,1,0,0,0
CVE-2020-1736,,LOW,2.2,10,0,0,5
CVE-2021-41334,,HIGH,7.0,2,0,0,4
CVE-2023-6943,,CRITICAL,9.8,6,0,0,1
CVE-2020-27955,,CRITICAL,9.8,14,0,0,5
CVE-2020-13131,,MEDIUM,4.3,4,0,0,5
CVE-2023-51643,,MEDIUM,4.7,2,0,0,1
