cve_id,published,years_since_published,cvss_score,severity,references_count,weaknesses_count,has_windows,has_linux,has_android,os_count,description_text,risk_score
CVE-2005-10004,2025-08-30 14:15:32.040,0.24,8.7,HIGH,6,1,0,0,0,0,cacti versions contain remote command execution vulnerability graph view php script authenticated user can inject arbitrary shell commands via graph start get parameter improperly handled during graph rendering flaw allows attackers execute commands underlying operating system privileges web server process potentially compromising system integrity,87.0
CVE-2008-20001,2025-08-30 14:15:33.533,0.24,7.5,HIGH,6,1,1,0,0,1,activepdf webgrabber contains stack based buffer overflow vulnerability getstatus method apwebgrb ocx activex control passing overly long string method remote attacker can execute arbitrary code context vulnerable process although control not marked safe scripting exploitation possible via crafted html content internet explorer under permissive security settings,75.0
CVE-2009-20008,2025-08-30 14:15:33.840,0.24,8.6,HIGH,6,1,1,0,0,1,green dam youth escort vulnerable stack based buffer overflow when processing overly long urls flaw resides url filtering component fails properly validate input length before copying user supplied data into fixed size buffer remote attacker can exploit vulnerability enticing user visit specially crafted webpage containing long url resulting arbitrary code execution,86.0
CVE-2009-20009,2025-08-30 14:15:34.153,0.24,9.3,CRITICAL,5,1,1,0,0,1,belkin bulldog plus build contains stack based buffer overflow vulnerability web service authentication handler when specially crafted http request sent oversized authorization header application fails properly validate input length before copying into fixed size buffer resulting memory corruption potential remote code execution exploitation requires network access does not require authentication,93.0
CVE-2009-20010,2025-08-30 14:15:34.877,0.24,9.3,CRITICAL,5,1,0,0,0,0,dogfood crm contains remote command execution vulnerability spell php script used mail subsystem vulnerability arises unsanitized user input passed via post request data parameter processed underlying shell without adequate escaping allows attackers inject arbitrary shell commands execute them server flaw exploitable without authentication discovered researcher lso,93.0
CVE-2009-20011,2025-08-30 14:15:35.140,0.24,10.0,CRITICAL,5,1,0,0,0,0,contentkeeper web appliance now maintained impero software versions vulnerable remote command execution due insecure handling file uploads via mimencode cgi utility vulnerability allows unauthenticated attackers upload execute arbitrary scripts apache user additionally exploit can optionally escalate privileges abusing insecure path usage benetool binary resulting root level access if successful,100.0
CVE-2010-10011,,0.24,6.5,MEDIUM,0,0,0,0,0,0,vulnerability classified problematic found acritum femitter server affected unknown function manipulation leads path traversal possible launch attack remotely exploit has been disclosed public may used vdb identifier assigned vulnerability,30.0
CVE-2010-10016,2025-08-30 14:15:37.180,0.24,10.0,CRITICAL,5,1,1,0,0,1,bs player build contains vulnerability playlist import functionality when processing m3u files application fails properly validate length playlist entries resulting buffer overflow condition flaw occurs during parsing long urls embedded playlist allowing overwrite structured exception handler seh records vulnerability triggered upon opening crafted playlist file affects unicode parsing logic windows client,100.0
CVE-2010-10017,2025-08-30 14:15:37.477,0.24,8.4,HIGH,5,1,1,0,0,1,wm downloader vulnerable buffer overflow when processing specially crafted m3u playlist file application fails properly validate input length allowing attacker overwrite structured exception handler seh records execute arbitrary code exploitation occurs locally when user opens malicious file payload executes privileges current user,84.0
CVE-2011-10032,2025-08-30 14:15:39.727,0.24,9.3,CRITICAL,7,1,1,0,0,1,sunway forcecontrol sp3 earlier contains stack based buffer overflow vulnerability snmp netdbserver service listens tcp port flaw triggered when service receives specially crafted packet using opcode 0x57 overly long payload due improper bounds checking during packet parsing attacker controlled data overwrites structured exception handler seh allowing arbitrary code execution context service vulnerability can exploited remotely without authentication may lead full system compromise affected windows hosts,93.0
CVE-2012-10062,2025-08-30 14:15:40.230,0.24,8.7,HIGH,4,1,1,0,0,1,vulnerability xampp developed apache friends default webdav configuration allows remote authenticated attackers upload execute arbitrary php code webdav service accessible via webdav accepts http put requests using default credentials permits attackers upload malicious php payload trigger execution via subsequent get request resulting remote code execution server,87.0
CVE-2014-125127,2025-09-03 09:15:32.187,0.23,7.5,HIGH,4,1,0,0,0,0,mikecao flight php framework versions v1 vulnerable denial service dos attacks due eager loading request bodies request class constructor framework automatically reads entire request body every http request regardless whether application needs attacker can exploit sending requests large payloads causing excessive memory consumption potentially exhausting available server memory leading application crashes service unavailability vulnerability fixed v1 implementing lazy loading request bodies,75.0
CVE-2015-10128,,0.24,6.5,MEDIUM,0,0,0,0,0,0,vulnerability found rt prettyphoto plugin up wordpress classified problematic affected issue function royal prettyphoto plugin links file rt prettyphoto php manipulation leads cross site scripting attack may launched remotely upgrading able address issue patch identified 0d3d38cfa487481b66869e4212df1cefc281ecb7 recommended upgrade affected component vdb identifier assigned vulnerability,30.0
CVE-2016-20021,,0.24,6.5,MEDIUM,0,0,0,0,0,0,gentoo portage before there missing pgp validation executed code standalone emerge webrsync downloads gpgsig file but does not perform signature verification unless emerge webrsync used portage not vulnerable,30.0
